caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
01/02/1948,0.003747,0.003747,0.015834,0.015834,
01/05/1948,-0.010173,-0.010173,-0.007562,-0.007562,
01/06/1948,-0.003104,-0.003104,-0.002805,-0.002805,
01/07/1948,0.004979,0.004979,0.007899,0.007899,
01/08/1948,0.005831,0.005614,0.008212,0.008074,
01/09/1948,-0.005063,-0.005063,-0.006179,-0.006179,
01/10/1948,0.001445,0.001445,0.000878,0.000878,
01/12/1948,-0.006429,-0.006429,-0.007028,-0.007028,
01/13/1948,-0.014159,-0.014207,-0.015865,-0.016164,
01/14/1948,-0.000513,-0.000513,0.001295,0.001295,
01/15/1948,-0.004570,-0.004570,-0.002533,-0.002533,
01/16/1948,-0.000158,-0.000386,0.001275,0.000764,
01/17/1948,-0.000962,-0.000962,-0.002051,-0.002051,
01/19/1948,-0.011342,-0.011342,-0.013847,-0.013847,
01/20/1948,0.000883,0.000796,0.001852,0.001747,
01/21/1948,-0.011113,-0.011113,-0.012532,-0.012532,
01/22/1948,-0.007486,-0.007810,-0.003151,-0.003422,
01/23/1948,-0.004375,-0.004375,-0.002730,-0.002730,
01/24/1948,0.000471,0.000471,0.000064,0.000064,
01/26/1948,-0.002051,-0.002051,0.000188,0.000188,
01/27/1948,0.001254,0.001254,0.004983,0.004983,
01/28/1948,0.010782,0.010476,0.009244,0.008652,
01/29/1948,0.010826,0.010826,0.008699,0.008699,
01/30/1948,0.002296,0.002296,0.000736,0.000736,
01/31/1948,0.001070,0.001070,-0.000721,-0.000721,
02/02/1948,0.000564,0.000564,-0.000813,-0.000813,
02/03/1948,-0.005958,-0.005958,-0.006998,-0.006998,
02/04/1948,-0.018104,-0.018773,-0.021658,-0.022107,
02/05/1948,-0.010485,-0.010742,-0.009894,-0.010093,
02/06/1948,0.000491,-0.000259,0.000928,0.000426,
02/07/1948,0.007927,0.007927,0.007959,0.007959,
02/09/1948,0.000877,0.000593,0.000909,0.000826,
02/10/1948,-0.026943,-0.029604,-0.032979,-0.034337,
02/11/1948,-0.000965,-0.001246,0.000934,0.000283,
02/13/1948,-0.001210,-0.001210,0.001049,0.001049,
02/14/1948,0.000055,0.000055,0.001866,0.001866,
02/16/1948,0.013936,0.013936,0.014772,0.014772,
02/17/1948,0.000733,0.000448,-0.000041,-0.000211,
02/18/1948,0.000870,0.000181,-0.002564,-0.003847,
02/19/1948,-0.002528,-0.002953,-0.002886,-0.003085,
02/20/1948,-0.003601,-0.003601,-0.005368,-0.005368,
02/21/1948,0.000817,0.000817,0.001081,0.001081,
02/24/1948,0.001954,0.001954,0.001743,0.001743,
02/25/1948,0.005175,0.004033,0.004559,0.003515,
02/26/1948,-0.006207,-0.006465,-0.005793,-0.006303,
02/27/1948,-0.002565,-0.002674,-0.001675,-0.001805,
02/28/1948,0.004848,0.004848,0.008631,0.008631,
03/01/1948,0.005264,0.005264,0.005329,0.005329,
03/02/1948,0.006100,0.006100,0.004440,0.004440,
03/03/1948,0.001728,0.000597,0.005163,0.004482,
03/04/1948,-0.005780,-0.006653,-0.005314,-0.005929,
03/05/1948,0.002110,0.001986,0.004341,0.004180,
03/06/1948,0.003821,0.003821,0.005779,0.005779,
03/08/1948,-0.008442,-0.008550,-0.008244,-0.008667,
03/09/1948,-0.006331,-0.006352,-0.007212,-0.007544,
03/10/1948,0.005403,0.004712,0.007387,0.006815,
03/11/1948,-0.001253,-0.001580,0.000277,-0.000218,
03/12/1948,0.000592,0.000483,0.003392,0.003201,
03/13/1948,0.005897,0.005897,0.006765,0.006765,
03/15/1948,-0.000822,-0.000822,-0.003089,-0.003089,
03/16/1948,-0.016148,-0.016148,-0.021344,-0.021344,
03/17/1948,0.007763,0.007199,0.010076,0.009391,
03/18/1948,0.005910,0.005866,0.011008,0.010837,
03/19/1948,0.021254,0.021254,0.018721,0.018721,
03/20/1948,0.024962,0.024962,0.026255,0.026255,
03/22/1948,0.001534,0.001534,0.002904,0.002904,
03/23/1948,-0.000147,-0.000245,-0.000018,-0.000176,
03/24/1948,-0.000617,-0.000617,0.000906,0.000906,
03/25/1948,0.004692,0.004692,0.004460,0.004460,
