caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
01/31/1948,-0.037743,-0.038905,-0.017680,-0.019590,-0.039869
02/28/1948,-0.040232,-0.047782,-0.047395,-0.053806,-0.046971
03/31/1948,0.081440,0.077022,0.100368,0.095031,0.077143
04/30/1948,0.030821,0.028537,0.034635,0.032835,0.026525
05/28/1948,0.084014,0.077523,0.077794,0.071325,0.078165
06/30/1948,0.007665,0.003687,0.010301,0.005884,0.002996
07/30/1948,-0.052296,-0.053144,-0.048966,-0.050497,-0.053166
08/31/1948,0.015539,0.008123,0.017540,0.011143,0.007571
09/30/1948,-0.027016,-0.031159,-0.036962,-0.041290,-0.030056
10/30/1948,0.070041,0.067023,0.059347,0.056643,0.067786
11/30/1948,-0.098332,-0.109939,-0.109582,-0.119509,-0.108223
12/31/1948,0.035952,0.029719,0.028019,0.020678,0.030508
01/31/1949,0.002676,0.001377,0.014855,0.012807,0.001316
02/28/1949,-0.031639,-0.041472,-0.028418,-0.036201,-0.039422
03/31/1949,0.033981,0.029349,0.042145,0.036673,0.030096
04/30/1949,-0.018691,-0.021717,-0.028888,-0.030948,-0.021248
05/31/1949,-0.029423,-0.037792,-0.026519,-0.034655,-0.037313
06/30/1949,0.001744,-0.003269,-0.006710,-0.011614,-0.002114
07/29/1949,0.062732,0.061657,0.056199,0.054321,0.062147
08/31/1949,0.021800,0.011738,0.023593,0.015023,0.011968
09/30/1949,0.027415,0.024293,0.034209,0.030226,0.023653
10/31/1949,0.029780,0.028437,0.018565,0.016267,0.029525
11/30/1949,0.020738,0.000482,0.018941,0.007634,0.001247
12/31/1949,0.050984,0.046034,0.068272,0.061708,0.043587
01/31/1950,0.019703,0.018245,0.033964,0.031615,0.017303
02/28/1950,0.019603,0.009975,0.018479,0.011781,0.009971
03/31/1950,0.008185,0.003542,0.004111,-0.001171,0.004065
04/29/1950,0.045887,0.044493,0.035929,0.033728,0.045113
05/31/1950,0.046902,0.037590,0.025339,0.017750,0.039292
06/30/1950,-0.054224,-0.057849,-0.072075,-0.076445,-0.058040
07/31/1950,0.016981,0.015875,0.049028,0.046996,0.008479
08/31/1950,0.048063,0.031526,0.034931,0.025701,0.032511
09/29/1950,0.059466,0.056510,0.064843,0.060597,0.055917
10/31/1950,0.005084,0.003425,-0.007084,-0.010040,0.004113
11/30/1950,0.022430,-0.000073,0.028721,0.014962,-0.001024
12/30/1950,0.055425,0.051025,0.079679,0.071878,0.046130
01/31/1951,0.065105,0.063309,0.072271,0.069941,0.061244
02/28/1951,0.014546,0.004185,0.009446,0.002608,0.006464
03/31/1951,-0.017484,-0.019706,-0.024806,-0.028969,-0.018349
04/30/1951,0.049108,0.047903,0.031718,0.029388,0.048131
05/31/1951,-0.029979,-0.040917,-0.022844,-0.030399,-0.040571
06/29/1951,-0.025848,-0.028186,-0.041803,-0.045824,-0.026022
07/31/1951,0.070935,0.070014,0.077191,0.074722,0.068702
08/31/1951,0.050220,0.038396,0.035093,0.027443,0.039286
09/28/1951,0.002868,0.001195,0.018520,0.014921,-0.000859
10/31/1951,-0.013321,-0.015088,-0.023051,-0.025892,-0.013758
11/30/1951,0.011388,-0.002574,0.014761,0.004767,-0.002616
12/31/1951,0.041815,0.038467,0.027918,0.021387,0.038899
01/31/1952,0.017768,0.016303,0.020778,0.018507,0.015566
02/29/1952,-0.025241,-0.035743,-0.016045,-0.023296,-0.036454
03/31/1952,0.052805,0.050655,0.045030,0.040612,0.047721
04/30/1952,-0.041423,-0.043268,-0.035340,-0.038039,-0.043086
05/29/1952,0.033698,0.023274,0.028118,0.020946,0.023156
06/30/1952,0.047832,0.045795,0.039012,0.034668,0.046102
07/31/1952,0.019129,0.017659,0.018871,0.016768,0.017628
08/29/1952,-0.005674,-0.015007,-0.004182,-0.010595,-0.014567
09/30/1952,-0.018085,-0.020098,-0.018359,-0.022090,-0.019577
10/31/1952,0.000320,-0.001244,-0.011536,-0.014703,-0.000815
11/28/1952,0.061382,0.048273,0.076125,0.066683,0.046493
12/31/1952,0.038215,0.035725,0.035868,0.030850,0.035464
01/30/1953,-0.006207,-0.006795,0.006762,0.005373,-0.007151
02/27/1953,-0.007540,-0.017804,-0.006503,-0.013630,-0.018196
03/31/1953,-0.022288,-0.024368,-0.016475,-0.020824,-0.023552
04/30/1953,-0.025308,-0.026832,-0.024339,-0.026714,-0.026493
05/29/1953,0.007401,-0.002730,0.009466,0.002360,-0.003249
06/30/1953,-0.014266,-0.016183,-0.018330,-0.022198,-0.016300
07/31/1953,0.026314,0.024844,0.023165,0.020736,0.025269
08/31/1953,-0.050101,-0.060097,-0.055387,-0.062175,-0.057778
09/30/1953,0.002187,0.000072,-0.006662,-0.010568,0.001286
10/30/1953,0.051046,0.049806,0.042035,0.039158,0.050964
11/30/1953,0.023763,0.009879,0.026921,0.016747,0.008965
12/31/1953,0.001713,-0.001189,-0.010892,-0.016379,0.002019
01/29/1954,0.053486,0.052586,0.060393,0.058423,0.051189
02/26/1954,0.012916,0.002343,0.009183,0.001406,0.002684
03/31/1954,0.030530,0.028423,0.024439,0.019603,0.030210
04/30/1954,0.048358,0.047140,0.018966,0.016994,0.048998
05/28/1954,0.042777,0.033606,0.044412,0.037575,0.032909
06/30/1954,0.002467,0.000533,0.013743,0.010138,0.000685
07/30/1954,0.058701,0.057780,0.059918,0.058141,0.057172
08/31/1954,-0.025894,-0.034753,-0.026370,-0.032922,-0.034003
09/30/1954,0.082500,0.080888,0.045818,0.042524,0.083138
10/29/1954,-0.017867,-0.018659,-0.009137,-0.011019,-0.019499
11/30/1954,0.095774,0.082712,0.107042,0.097434,0.080808
12/31/1954,0.054288,0.052361,0.075205,0.071814,0.050818
01/31/1955,0.018076,0.017591,0.008848,0.007644,0.018066
02/28/1955,0.013526,0.005446,0.032885,0.026669,0.003549
03/31/1955,-0.002242,-0.003851,-0.003973,-0.007475,-0.004897
04/29/1955,0.039843,0.038885,0.036513,0.034981,0.037726
05/31/1955,0.006433,-0.001081,0.012066,0.006198,-0.001317
06/30/1955,0.081300,0.079930,0.040231,0.036965,0.082300
07/29/1955,0.057646,0.057068,0.007444,0.005972,0.060687
08/31/1955,-0.000648,-0.008313,0.004282,-0.001447,-0.007813
09/30/1955,0.011286,0.010117,-0.019940,-0.022709,0.011348
10/31/1955,-0.030468,-0.031000,-0.029509,-0.031032,-0.030456
11/30/1955,0.087825,0.075124,0.069658,0.060624,0.074870
12/30/1955,-0.000309,-0.001685,0.007020,0.004091,-0.000659
01/31/1956,-0.035057,-0.036279,-0.029282,-0.031120,-0.036500
